# z	coverage	line
-4.4365	0	Furakutaru
-4.2576	0.0233	Unasarete-e-e-e-e-e-e-e-e-e-e-e-e-eeEEE EEE
-4.1075	0	Nanananana
-4.0411	0	furakutaru
-4.0117	0.3333	And IIIIIIII
-3.9291	0	Unasarete-e-e-e-e-e-e-e-e-e-e-e-e-e-eee
-3.9193	0	Kurikaesu
-3.7806	0.0588	Furafura furafura
-3.7349	0.1667	?Ma-atte-ru?
-3.7251	0.125	Matteru?
-3.712	0	nanananana
-3.5975	0.0556	Kurukuru kurikaesu
-3.5821	0.0588	Kurukuru kurukuru
-3.5334	0.0588	furafura furafura
-3.48	0	kurikaesu
-3.4575	0.4118	Oh how IIIIIIIIII
-3.4294	0.0769	Y'a tellement d'inegalites
-3.4039	0.0741	Sur l'Interstate ninetyfive
-3.4029	0	Nanana
-3.3986	0	iiiiiiiiiIIIIIIIIIIiiiiiii
-3.3649	0.0556	kurukuru kurikaesu
-3.363	0.0625	Karamawaru souto
-3.3349	0.0588	kurukuru kurukuru
-3.3036	0.0667	Kawaru monokuro
-3.2899	0	iiiiiIIIIIiiii
-3.2511	0.2051	You get hypnotititititititititititititi
-3.2438	0.0625	Hikinuku kasetto
-3.1988	0	uuuuUUUUuuuu
-3.1988	0	uuuuuuuuUUUUUUUUuuuuuuuu
-3.1571	0	woooohooooOOOOoooo
-3.1442	0.2051	you get hypnotititititititititititititi
-3.1424	0	lafayette
-3.0994	0.0625	karamawaru souto
-3.0985	0.32	Nani mo kangaerarenai...!
-3.0947	0.0714	Owaranai roodo
-3.0211	0.0667	kawaru monokuro
-2.9813	0	Lieless
-2.9802	0.0625	hikinuku kasetto
-2.9679	0	Hoo-hoo-hoo
-2.9675	0.0556	alexander hamilton
-2.9599	0.0952	Susume domo darusenyo
-2.9187	0.1111	Il Bambin
-2.8993	0.0769	sur linterstate ninetyfive
-2.8784	0	matteru
-2.8743	0.1364	Dans cette hypocrisie?
-2.8468	0.1667	La surabondance surgelee
-2.8077	0.0385	Haaaaaardware stoooooooore
-2.8042	0.1071	Demain soir ch't'a Montmagny
-2.8011	0.5385	!Kill pUrIty!
-2.7905	0.0714	owaranai roodo
-2.7853	0.125	J'ai toute l'Amerique qui pleure
-2.7832	0.1852	Not goooing baaAAAAAAAaaack
-2.7693	0.0625	Moyashi tsukushi
-2.7675	0.0833	Aa aa aaaaaaaaaaaaaaaaaa
-2.7656	0.1176	J'vois toute l'Amerique qui pleure
-2.7625	0.1154	Boku wa nigerarenai naraba
-2.7524	0.1111	Hidoku meikai amaku yugande
-2.7518	0.0952	susume domo darusenyo
-2.7461	0.0769	Kono mayonaka
