# bigram	frequency
aa	13392
ab	1203849
ac	2219296
ad	2876741
ae	81283
af	469087
ag	1204344
ah	86431
ai	2510736
aj	45048
ak	822388
al	4622155
am	1610395
an	12315713
ao	25487
ap	1055869
aq	4924
ar	6203507
as	5709926
at	8114656
au	684842
av	1578968
aw	536506
ax	73858
ay	1710288
az	90138
ba	726910
bb	87918
bc	644
bd	11421
be	3798740
bf	253
bg	260
bh	4649
bi	424664
bj	105433
bk	574
bl	1302482
bm	15734
bn	7288
bo	1140702
bp	177
bq	8
br	668890
bs	205620
bt	121540
bu	1183063
bv	9806
bw	1219
bx	1
by	999355
bz	88
ca	2259971
cb	984
cc	453665
cd	3732
ce	3513959
cf	779
cg	498
ch	3267507
ci	1044358
cj	10
ck	925655
cl	710849
cm	882
cn	1387
co	3609272
cp	441
cq	37989
cr	726061
cs	45547
ct	1916629
cu	666485
cv	92
cw	273
cx	324
cy	129920
cz	628
da	940192
db	5974
dc	4999
dd	306083
de	4091376
df	28745
dg	179532
dh	21209
di	2409707
dj	15455
dk	5347
dl	271559
dm	96548
dn	128390
do	1453203
dp	3184
dq	2990
dr	567936
ds	809349
dt	11191
du	449830
dv	103535
dw	46506
dx	10
dy	360103
dz	388
ea	4607205
eb	155593
ec	2280315
ed	7805967
ee	2839722
ef	933186
eg	540490
eh	147038
ei	1243103
ej	30788
ek	116744
el	3235254
em	2039661
en	8326622
eo	305120
ep	966201
eq	190095
er	12934901
es	6783768
et	2499226
eu	114800
ev	1414234
ew	677613
ex	894734
ey	1258351
ez	30480
fa	1043958
fb	134
fc	281
fd	401
fe	1410143
ff	760967
fg	861
fh	572
fi	1367025
fj	187
fk	115
fl	384066
fm	841
fn	1332
fo	2869774
fp	708
fq	2
fr	1242560
fs	28293
ft	602744
fu	649226
fv	117
fw	887
fx	2
fy	37842
fz	54
ga	890709
gb	5492
gc	416
gd	19832
ge	1931850
gf	4732
gg	161875
gh	1944376
gi	777881
gj	61
gk	708
gl	463763
gm	32861
gn	269963
go	856077
gp	1015
gq	4
gr	1096998
gs	349745
gt	87371
gu	430380
gv	110
gw	5395
gx	5
gy	52572
gz	638
ha	6967591
hb	35315
hc	3548
hd	14224
he	21484684
hf	28194
hg	1461
hh	2938
hi	6198006
hj	114
hk	1984
hl	62996
hm	74419
hn	82222
ho	3374563
hp	1936
hq	1519
hr	540286
hs	93254
ht	1311810
hu	519136
hv	809
hw	26095
hx	15
hy	275430
hz	288
ia	1051585
ib	493267
ic	3051225
id	1994117
ie	2076261
if	1093111
ig	1609791
ih	6884
ii	45477
ij	3347
ik	345556
il	2666811
im	2082589
in	13597302
io	3051880
ip	436150
iq	27998
ir	2142678
is	6729622
it	6637233
iu	113615
iv	1337627
iw	2564
ix	112135
iy	2315
iz	185925
ja	40073
jb	10
jc	25
jd	91
je	404608
jf	9
jg	34
jh	135
ji	6332
jj	210
jk	198
jl	41
jm	136
jn	609
jo	172858
jp	298
jq	0
jr	115
js	141
jt	51
ju	263672
jv	9
jw	6
jx	2
jy	152
jz	4
ka	60568
kb	4680
kc	1101
kd	1003
ke	1701308
kf	17409
kg	3514
kh	13173
ki	652399
kj	176
kk	1820
kl	82137
km	8408
kn	486863
ko	27802
kp	1041
kq	7
kr	5683
ks	428528
kt	3908
ku	8936
kv	358
kw	14057
kx	2
ky	49764
kz	36
la	2805282
lb	36574
lc	56472
ld	2012500
le	5038239
lf	489413
lg	37445
lh	7721
li	3348377
lj	390
lk	182436
ll	4235407
lm	157166
ln	32936
lo	2267154
lp	109882
lq	741
lr	70424
ls	600478
lt	543048
lu	568081
lv	185312
lw	101304
lx	604
ly	2589130
lz	3453
ma	2923135
mb	474640
mc	1865
md	1389
me	4724108
mf	32893
mg	573
mh	2631
mi	1562884
mj	85
mk	1143
ml	31656
mm	415443
mn	67759
mo	1875977
mp	1042198
mq	492
mr	8440
ms	553471
mt	8628
mu	642704
mv	1322
mw	3292
mx	8
my	727163
mz	214
na	1366255
nb	281526
nc	2084120
nd	9414961
ne	4327022
nf	326686
ng	6239065
nh	60699
ni	1674922
nj	63162
nk	445067
nl	457557
nm	87142
nn	493180
no	3120135
np	25280
nq	63121
nr	54341
ns	2299629
nt	4962149
nu	346004
nv	202644
nw	47285
nx	25901
